"KH Wa 1006","KH Wa 1006","KH","Wa","1006.0","2"
"KH Wa 1007","KH Wa 1007","KH","Wa","1007.0","2"
"KH Wa 1008","KH Wa 1008","KH","Wa","1008.0","2"
"KH Wa 1009","KH Wa 1009","KH","Wa","1009.0","2"
"KH Wa 1010","KH Wa 1010","KH","Wa","1010.0","2"
"KH Wa 1011","KH Wa 1011","KH","Wa","1011.0","2"
"KH Wa 1012","KH Wa 1012","KH","Wa","1012.0","2"
"KH Wa 1013","KH Wa 1013α","KH","Wa","1013.0","2"
"KH Wa 1013","KH Wa 1013γ","KH","Wa","1013.0","2"
"KH Wa 1014","KH Wa 1014α","KH","Wa","1014.0","2"
"KH Wa 1014","KH Wa 1014γ","KH","Wa","1014.0","2"
"KH Wa 1015","KH Wa 1015α","KH","Wa","1015.0","2"
"KH Wa 1015","KH Wa 1015γ","KH","Wa","1015.0","2"
"KH Wa 1016","KH Wa 1016α","KH","Wa","1016.0","2"
"KH Wa 1016","KH Wa 1016γ","KH","Wa","1016.0","2"
"KH Wa 1017","KH Wa 1017","KH","Wa","1017.0","2"
"KH Wa 1018","KH Wa 1018","KH","Wa","1018.0","2"
"KH Wa 1019","KH Wa 1019","KH","Wa","1019.0","2"
"KH Wa 1020","KH Wa 1020","KH","Wa","1020.0","2"
"KH Wc 2001","KH Wc 2001","KH","Wc","2001.0","2"
"KH Wc 2002","KH Wc 2002","KH","Wc","2002.0","2"
"KH Wc 2004","KH Wc 2004","KH","Wc","2004.0","2"
"KH Wc 2005","KH Wc 2005","KH","Wc","2005.0","5"
"KH Wc 2006","KH Wc 2006","KH","Wc","2006.0","2"
"KH Wc 2007","KH Wc 2007","KH","Wc","2007.0","2"
"KH Wc 2008","KH Wc 2008","KH","Wc","2008.0","2"
"KH Wc 2009","KH Wc 2009","KH","Wc","2009.0","2"
